id;language;question;response1;response2;response3;solutionnb
1;fr;Visionner un film en basse résolution plutôt qu’en haute définition, divise de combien la consommation d’énergie totale nécessaire ?;Entre 2 et 4 fois;Entre 4 et 10 fois;Entre 10 et 20 fois;2
1;en;Watching a movie in low resolution instead of high definition reduces the total energy consumption by how much?;Between 2 and 4 times;Between 4 and 10 times;Between 10 and 20 times;2
1;es;Ver una película en baja resolución en lugar de alta definición, ¿por cuánto divide el consumo total de energía necesario?;Entre 2 y 4 veces;Entre 4 y 10 veces;Entre 10 y 20 veces;2
1;pt;Ver um filme em baixa resolução em vez de alta definição, divide por quanto o consumo total de energia necessário?;Entre 2 e 4 vezes;Entre 4 e 10 vezes;Entre 10 e 20 vezes;2
1;de;Das Ansehen eines Films in niedriger Auflösung anstelle von hoher Auflösung, durch wie viel wird der benötigte Gesamtenergieverbrauch geteilt?;Zwischen 2- und 4-mal;Zwischen 4- und 10-mal;Zwischen 10- und 20-mal;2
2;fr;De combien a été multiplié le poids moyen d’un page web sans pour autant accélérer les services rendus en 27 ans ?;26;94;155;3
1;en;Watching a movie in low resolution instead of high definition reduces the total energy consumption by how much?;Between 2 and 4 times;Between 4 and 10 times;Between 10 and 20 times;2
2;en;By how much has the average weight of a web page increased over 27 years without speeding up the services provided?;26;94;155;3
2;es;¿Por cuánto se ha multiplicado el peso medio de una página web sin acelerar los servicios prestados en 27 años?;26;94;155;3
2;pt;Por quanto foi multiplicado o peso médio de uma página web sem acelerar os serviços prestados em 27 anos?;26;94;155;3
2;de;Um wie viel hat sich das durchschnittliche Gewicht einer Webseite in 27 Jahren vervielfacht, ohne die erbrachten Dienste zu beschleunigen?;26;94;155;3
3;fr;D’après l’étude Exceeding values et Sandish Group publiée en 2014, quel est le pourcentage de fonctionnalités demandées par les utilisateurs qui ne sont jamais ou rarement utilisées ?;30%;50%;70%;3
3;en;According to the Exceeding Values and Sandish Group study published in 2014, what percentage of user-requested features are never or rarely used?;30%;50%;70%;3
3;es;Según el estudio Exceeding values y Sandish Group publicado en 2014, ¿cuál es el porcentaje de funcionalidades solicitadas por los usuarios que nunca o raramente se utilizan?;30%;50%;70%;3
3;pt;Segundo o estudo Exceeding values e Sandish Group publicado em 2014, qual é a percentagem de funcionalidades solicitadas pelos utilizadores que nunca ou raramente são utilizadas?;30%;50%;70%;3
3;de;Laut der 2014 veröffentlichten Studie von Exceeding Values und Sandish Group, wie hoch ist der Prozentsatz der von Benutzern angeforderten Funktionen, die nie oder selten genutzt werden?;30%;50%;70%;3
4;fr;En 2022, quel était le pourcentage de la population mondiale ayant accès à internet ?;52%;63%;82%;2
4;en;In 2022, what percentage of the world population had access to the internet?;52%;63%;82%;2
